NORMALITY:
                                                         W      pval  normal
       retweets_distilbert_False_RidgeClassifier        retweets_structured_False_RidgeClassifier  -0.0727  0.001 -0.1071 -0.0383   True
       retweets_distilbert_False_RidgeClassifier          retweets_structured_False_XGBClassifier  -0.0814  0.001 -0.1158 -0.0469   True
         retweets_distilbert_False_XGBClassifier           retweets_distilbert_True_MLPClassifier  -0.0311  0.157 -0.0656  0.0033  False
         retweets_distilbert_False_XGBClassifier  retweets_distilbert_True_RandomForestClassifier   0.0004    0.9  -0.034  0.0349  False
         retweets_distilbert_False_XGBClassifier         retweets_distilbert_True_RidgeClassifier   0.0004    0.9  -0.034  0.0349  False
         retweets_distilbert_False_XGBClassifier           retweets_distilbert_True_XGBClassifier  -0.0013    0.9 -0.0358  0.0331  False
         retweets_distilbert_False_XGBClassifier            retweets_fasttext_False_MLPClassifier  -0.0133    0.9 -0.0478  0.0211  False
         retweets_distilbert_False_XGBClassifier   retweets_fasttext_False_RandomForestClassifier  -0.0047    0.9 -0.0391  0.0298  False
         retweets_distilbert_False_XGBClassifier          retweets_fasttext_False_RidgeClassifier  -0.0047    0.9 -0.0391  0.0298  False
         retweets_distilbert_False_XGBClassifier            retweets_fasttext_False_XGBClassifier   0.0022    0.9 -0.0322  0.0367  False
         retweets_distilbert_False_XGBClassifier             retweets_fasttext_True_MLPClassifier  -0.0069    0.9 -0.0413  0.0275  False
         retweets_distilbert_False_XGBClassifier    retweets_fasttext_True_RandomForestClassifier   0.0002    0.9 -0.0342  0.0347  False
         retweets_distilbert_False_XGBClassifier           retweets_fasttext_True_RidgeClassifier   0.0002    0.9 -0.0342  0.0347  False
         retweets_distilbert_False_XGBClassifier             retweets_fasttext_True_XGBClassifier   0.0064    0.9  -0.028  0.0409  False
         retweets_distilbert_False_XGBClassifier               retweets_glove_False_MLPClassifier  -0.0213 0.8915 -0.0558  0.0131  False
         retweets_distilbert_False_XGBClassifier      retweets_glove_False_RandomForestClassifier  -0.0044    0.9 -0.0389    0.03  False
         retweets_distilbert_False_XGBClassifier             retweets_glove_False_RidgeClassifier  -0.0044    0.9 -0.0389    0.03  False
         retweets_distilbert_False_XGBClassifier               retweets_glove_False_XGBClassifier   0.0016    0.9 -0.0329   0.036  False
         retweets_distilbert_False_XGBClassifier                retweets_glove_True_MLPClassifier    -0.01    0.9 -0.0444  0.0244  False
         retweets_distilbert_False_XGBClassifier       retweets_glove_True_RandomForestClassifier  -0.0062    0.9 -0.0407  0.0282  False
         retweets_distilbert_False_XGBClassifier              retweets_glove_True_RidgeClassifier  -0.0062    0.9 -0.0407  0.0282  False
