NORMALITY:
                                                        W      pval  normal
       replies_distilbert_False_RidgeClassifier             replies_glove_False_RidgeClassifier   -0.018    0.9 -0.0481  0.0121  False
       replies_distilbert_False_RidgeClassifier               replies_glove_False_XGBClassifier  -0.0236 0.4663 -0.0537  0.0066  False
       replies_distilbert_False_RidgeClassifier                replies_glove_True_MLPClassifier  -0.0287 0.0914 -0.0588  0.0015  False
       replies_distilbert_False_RidgeClassifier       replies_glove_True_RandomForestClassifier    -0.02  0.776 -0.0501  0.0101  False
       replies_distilbert_False_RidgeClassifier              replies_glove_True_RidgeClassifier    -0.02  0.776 -0.0501  0.0101  False
       replies_distilbert_False_RidgeClassifier                replies_glove_True_XGBClassifier  -0.0193 0.8349 -0.0495  0.0108  False
       replies_distilbert_False_RidgeClassifier             replies_roberta_False_MLPClassifier  -0.0345  0.006 -0.0646 -0.0043   True
       replies_distilbert_False_RidgeClassifier    replies_roberta_False_RandomForestClassifier  -0.0291 0.0768 -0.0593   0.001  False
       replies_distilbert_False_RidgeClassifier           replies_roberta_False_RidgeClassifier  -0.0291 0.0768 -0.0593   0.001  False
       replies_distilbert_False_RidgeClassifier             replies_roberta_False_XGBClassifier  -0.0396  0.001 -0.0697 -0.0095   True
       replies_distilbert_False_RidgeClassifier              replies_roberta_True_MLPClassifier  -0.0249 0.3268 -0.0551  0.0052  False
       replies_distilbert_False_RidgeClassifier     replies_roberta_True_RandomForestClassifier  -0.0269 0.1751 -0.0571  0.0032  False
       replies_distilbert_False_RidgeClassifier            replies_roberta_True_RidgeClassifier  -0.0269 0.1751 -0.0571  0.0032  False
       replies_distilbert_False_RidgeClassifier              replies_roberta_True_XGBClassifier  -0.0196 0.8131 -0.0497  0.0106  False
       replies_distilbert_False_RidgeClassifier          replies_structured_False_MLPClassifier  -0.0651  0.001 -0.0953  -0.035   True
       replies_distilbert_False_RidgeClassifier replies_structured_False_RandomForestClassifier   -0.056  0.001 -0.0862 -0.0259   True
       replies_distilbert_False_RidgeClassifier        replies_structured_False_RidgeClassifier   -0.056  0.001 -0.0862 -0.0259   True
       replies_distilbert_False_RidgeClassifier          replies_structured_False_XGBClassifier  -0.0623  0.001 -0.0924 -0.0321   True
         replies_distilbert_False_XGBClassifier           replies_distilbert_True_MLPClassifier  -0.0298 0.0581 -0.0599  0.0003  False
         replies_distilbert_False_XGBClassifier  replies_distilbert_True_RandomForestClassifier   0.0007    0.9 -0.0295  0.0308  False
         replies_distilbert_False_XGBClassifier         replies_distilbert_True_RidgeClassifier   0.0007    0.9 -0.0295  0.0308  False
         replies_distilbert_False_XGBClassifier           replies_distilbert_True_XGBClassifier  -0.0044    0.9 -0.0346  0.0257  False
         replies_distilbert_False_XGBClassifier            replies_fasttext_False_MLPClassifier  -0.0182    0.9 -0.0484  0.0119  False
         replies_distilbert_False_XGBClassifier   replies_fasttext_False_RandomForestClassifier  -0.0156    0.9 -0.0457  0.0146  False
         replies_distilbert_False_XGBClassifier          replies_fasttext_False_RidgeClassifier  -0.0156    0.9 -0.0457  0.0146  False
         replies_distilbert_False_XGBClassifier            replies_fasttext_False_XGBClassifier  -0.0251 0.3092 -0.0553   0.005  False
         replies_distilbert_False_XGBClassifier             replies_fasttext_True_MLPClassifier  -0.0213 0.6598 -0.0515  0.0088  False
         replies_distilbert_False_XGBClassifier    replies_fasttext_True_RandomForestClassifier   -0.012    0.9 -0.0421  0.0181  False
         replies_distilbert_False_XGBClassifier           replies_fasttext_True_RidgeClassifier   -0.012    0.9 -0.0421  0.0181  False
         replies_distilbert_False_XGBClassifier             replies_fasttext_True_XGBClassifier  -0.0185    0.9 -0.0486  0.0117  False
         replies_distilbert_False_XGBClassifier               replies_glove_False_MLPClassifier  -0.0407  0.001 -0.0708 -0.0105   True
         replies_distilbert_False_XGBClassifier      replies_glove_False_RandomForestClassifier  -0.0153    0.9 -0.0455  0.0148  False
         replies_distilbert_False_XGBClassifier             replies_glove_False_RidgeClassifier  -0.0153    0.9 -0.0455  0.0148  False
         replies_distilbert_False_XGBClassifier               replies_glove_False_XGBClassifier  -0.0209 0.6996  -0.051  0.0092  False
         replies_distilbert_False_XGBClassifier                replies_glove_True_MLPClassifier   -0.026 0.2375 -0.0561  0.0041  False
         replies_distilbert_False_XGBClassifier       replies_glove_True_RandomForestClassifier  -0.0173    0.9 -0.0475  0.0128  False
         replies_distilbert_False_XGBClassifier              replies_glove_True_RidgeClassifier  -0.0173    0.9 -0.0475  0.0128  False
         replies_distilbert_False_XGBClassifier                replies_glove_True_XGBClassifier  -0.0167    0.9 -0.0468  0.0135  False
         replies_distilbert_False_XGBClassifier             replies_roberta_False_MLPClassifier  -0.0318 0.0233 -0.0619 -0.0017   True
         replies_distilbert_False_XGBClassifier    replies_roberta_False_RandomForestClassifier  -0.0265  0.204 -0.0566  0.0037  False
         replies_distilbert_False_XGBClassifier           replies_roberta_False_RidgeClassifier  -0.0265  0.204 -0.0566  0.0037  False
         replies_distilbert_False_XGBClassifier             replies_roberta_False_XGBClassifier  -0.0369 0.0015 -0.0671 -0.0068   True
         replies_distilbert_False_XGBClassifier              replies_roberta_True_MLPClassifier  -0.0223 0.5809 -0.0524  0.0079  False
         replies_distilbert_False_XGBClassifier     replies_roberta_True_RandomForestClassifier  -0.0243  0.395 -0.0544  0.0059  False
         replies_distilbert_False_XGBClassifier            replies_roberta_True_RidgeClassifier  -0.0243  0.395 -0.0544  0.0059  False
         replies_distilbert_False_XGBClassifier              replies_roberta_True_XGBClassifier  -0.0169    0.9  -0.047  0.0132  False
         replies_distilbert_False_XGBClassifier          replies_structured_False_MLPClassifier  -0.0625  0.001 -0.0926 -0.0323   True
         replies_distilbert_False_XGBClassifier replies_structured_False_RandomForestClassifier  -0.0534  0.001 -0.0835 -0.0232   True
         replies_distilbert_False_XGBClassifier        replies_structured_False_RidgeClassifier  -0.0534  0.001 -0.0835 -0.0232   True
         replies_distilbert_False_XGBClassifier          replies_structured_False_XGBClassifier  -0.0596  0.001 -0.0897 -0.0295   True
          replies_distilbert_True_MLPClassifier  replies_distilbert_True_RandomForestClassifier   0.0305 0.0434  0.0003  0.0606   True
          replies_distilbert_True_MLPClassifier         replies_distilbert_True_RidgeClassifier   0.0305 0.0434  0.0003  0.0606   True
          replies_distilbert_True_MLPClassifier           replies_distilbert_True_XGBClassifier   0.0253 0.2899 -0.0048  0.0555  False
          replies_distilbert_True_MLPClassifier            replies_fasttext_False_MLPClassifier   0.0116    0.9 -0.0186  0.0417  False
          replies_distilbert_True_MLPClassifier   replies_fasttext_False_RandomForestClassifier   0.0142    0.9 -0.0159  0.0444  False
          replies_distilbert_True_MLPClassifier          replies_fasttext_False_RidgeClassifier   0.0142    0.9 -0.0159  0.0444  False
          replies_distilbert_True_MLPClassifier            replies_fasttext_False_XGBClassifier   0.0047    0.9 -0.0255  0.0348  False
          replies_distilbert_True_MLPClassifier             replies_fasttext_True_MLPClassifier   0.0085    0.9 -0.0217  0.0386  False
          replies_distilbert_True_MLPClassifier    replies_fasttext_True_RandomForestClassifier   0.0178    0.9 -0.0123  0.0479  False
          replies_distilbert_True_MLPClassifier           replies_fasttext_True_RidgeClassifier   0.0178    0.9 -0.0123  0.0479  False
          replies_distilbert_True_MLPClassifier             replies_fasttext_True_XGBClassifier   0.0113    0.9 -0.0188  0.0415  False
          replies_distilbert_True_MLPClassifier               replies_glove_False_MLPClassifier  -0.0109    0.9  -0.041  0.0192  False
          replies_distilbert_True_MLPClassifier      replies_glove_False_RandomForestClassifier   0.0145    0.9 -0.0157  0.0446  False
          replies_distilbert_True_MLPClassifier             replies_glove_False_RidgeClassifier   0.0145    0.9 -0.0157  0.0446  False
          replies_distilbert_True_MLPClassifier               replies_glove_False_XGBClassifier   0.0089    0.9 -0.0212   0.039  False
          replies_distilbert_True_MLPClassifier                replies_glove_True_MLPClassifier   0.0038    0.9 -0.0263  0.0339  False
          replies_distilbert_True_MLPClassifier       replies_glove_True_RandomForestClassifier   0.0125    0.9 -0.0177  0.0426  False
          replies_distilbert_True_MLPClassifier              replies_glove_True_RidgeClassifier   0.0125    0.9 -0.0177  0.0426  False
          replies_distilbert_True_MLPClassifier                replies_glove_True_XGBClassifier   0.0131    0.9  -0.017  0.0433  False
          replies_distilbert_True_MLPClassifier             replies_roberta_False_MLPClassifier   -0.002    0.9 -0.0321  0.0281  False
          replies_distilbert_True_MLPClassifier    replies_roberta_False_RandomForestClassifier   0.0033    0.9 -0.0268  0.0335  False
          replies_distilbert_True_MLPClassifier           replies_roberta_False_RidgeClassifier   0.0033    0.9 -0.0268  0.0335  False
          replies_distilbert_True_MLPClassifier             replies_roberta_False_XGBClassifier  -0.0071    0.9 -0.0373   0.023  False
          replies_distilbert_True_MLPClassifier              replies_roberta_True_MLPClassifier   0.0075    0.9 -0.0226  0.0377  False
          replies_distilbert_True_MLPClassifier     replies_roberta_True_RandomForestClassifier   0.0055    0.9 -0.0246  0.0357  False
          replies_distilbert_True_MLPClassifier            replies_roberta_True_RidgeClassifier   0.0055    0.9 -0.0246  0.0357  False
          replies_distilbert_True_MLPClassifier              replies_roberta_True_XGBClassifier   0.0129    0.9 -0.0172   0.043  False
          replies_distilbert_True_MLPClassifier          replies_structured_False_MLPClassifier  -0.0327 0.0152 -0.0628 -0.0025   True
          replies_distilbert_True_MLPClassifier replies_structured_False_RandomForestClassifier  -0.0236 0.4649 -0.0537  0.0066  False
          replies_distilbert_True_MLPClassifier        replies_structured_False_RidgeClassifier  -0.0236 0.4649 -0.0537  0.0066  False
          replies_distilbert_True_MLPClassifier          replies_structured_False_XGBClassifier  -0.0298 0.0582 -0.0599  0.0003  False
 replies_distilbert_True_RandomForestClassifier         replies_distilbert_True_RidgeClassifier      0.0    0.9 -0.0301  0.0301  False
 replies_distilbert_True_RandomForestClassifier           replies_distilbert_True_XGBClassifier  -0.0051    0.9 -0.0352   0.025  False
 replies_distilbert_True_RandomForestClassifier            replies_fasttext_False_MLPClassifier  -0.0189 0.8718  -0.049  0.0112  False
 replies_distilbert_True_RandomForestClassifier   replies_fasttext_False_RandomForestClassifier  -0.0162    0.9 -0.0464  0.0139  False
 replies_distilbert_True_RandomForestClassifier          replies_fasttext_False_RidgeClassifier  -0.0162    0.9 -0.0464  0.0139  False
 replies_distilbert_True_RandomForestClassifier            replies_fasttext_False_XGBClassifier  -0.0258 0.2534 -0.0559  0.0043  False
 replies_distilbert_True_RandomForestClassifier             replies_fasttext_True_MLPClassifier   -0.022 0.6018 -0.0521  0.0081  False
 replies_distilbert_True_RandomForestClassifier    replies_fasttext_True_RandomForestClassifier  -0.0127    0.9 -0.0428  0.0175  False
 replies_distilbert_True_RandomForestClassifier           replies_fasttext_True_RidgeClassifier  -0.0127    0.9 -0.0428  0.0175  False
 replies_distilbert_True_RandomForestClassifier             replies_fasttext_True_XGBClassifier  -0.0191 0.8526 -0.0493   0.011  False
 replies_distilbert_True_RandomForestClassifier               replies_glove_False_MLPClassifier  -0.0413  0.001 -0.0715 -0.0112   True
 replies_distilbert_True_RandomForestClassifier      replies_glove_False_RandomForestClassifier   -0.016    0.9 -0.0461  0.0141  False
 replies_distilbert_True_RandomForestClassifier             replies_glove_False_RidgeClassifier   -0.016    0.9 -0.0461  0.0141  False
 replies_distilbert_True_RandomForestClassifier               replies_glove_False_XGBClassifier  -0.0216 0.6416 -0.0517  0.0086  False
